name;vehicle_id;vehicle_socket_id
e-208;1;2
e-2008;1;2
e-308;1;2
e-308 SW;1;2
e-3008;1;2
e-408;1;2
e-5008;1;2
E-Rifter;1;2
E-Traveller;1;2
E-Expert,1,2;1;2
Zoe E-Tech;2;2
Mégane E-Tech;2;2
Kangoo E-Tech;2;2
Scénic E-Tech;2;2
Renault 5 E-Tech;2;2
Renault 4 E-Tech;2;2
Trafic E-Tech;2;2
Master E-Tech;2;2
Clio E-Tech (hybride);2;2
Captur E-Tech (hybride);2;2
E-C3;3;2
E-C4;3;2
E-C4 X;3;2
E-Berlingo;3;2
E-Jumpy;3;2
E-SpaceTourer;3;2
E-C5 Aircross (hybride rechargeable);3;2
C5 X (hybride rechargeable);3;2
C3 Aircross;3;2
Model 3;4;2
Model Y;4;2
Model S;4;2
Model X;4;2
Cybertruc;4;2
Roadster;4;2
Semi (camion);4;2
Model 2/Compact;4;2
Model S Plaid;4;2
Model X Plaid;4;2
IX1;5;2
IX2;5;2
I4;5;2
I5;5;2
I7;5;2
IX;5;2
Mini Cooper Electric;5;2
Mini Countryman Electric;5;2
I3;5;2
IX3;5;2
Q4 e-tron;6;2
Q4 Sportback e-tron;6;2
Q6 e-tron;6;2
Q8 e-tron;6;2
Q8 Sportback e-tron;6;2
e-tron GT;6;2
RS e-tron GT;6;2
A6 e-tron;6;2
A6 Avant e-tron;6;2
A4 e-tron;6;2
ID.3;7;2
ID.4;7;2
ID.5;7;2
ID.7;7;2
ID.7 Tourer;7;2
ID. Buzz;7;2
E-Up;7;2
ID.2all;7;2
ID. GTI;7;2
ID. Buggy;7;2
Leaf;8;2
Ariya;8;2
Townstar EV;8;2
Interstar EV;8;2
Primastar EV;8;2
Micra EV;8;2
Concept Hyper Adventure;8;2
Concept Hyper Tourer;8;2
Kona Electric;9;2
Ioniq 5;9;2
Ioniq 6;9;2
Ioniq 7;9;2
Casper EV;9;2
HCD-16 N Vision 74;9;2
Prophecy Concept;9;2
Pony Concept;9;2
SEVEN Concept;9;2
Nexo;9;2
500E;10;2
600E;10;2
Panda;10;2
Topolino;10;2
E-Doblò;10;2
E-Scudo;10;2
E-Ducato;10;2
Centoventi;10;2
Multipla;10;2
Fastback EV;10;2
Mustang Mach-E;11;2
F-150 Lightning;11;2
E-Transit;11;2
Explorer EV;11;2
Capri EV;11;2
Puma EV;11;2
Transit Custom EV;11;2
Tourneo Custom EV;11;2
Mach-E Rally;11;2
E-Transit Custom Kombi;11;2
